Nome;Rating;Posição Principal
Gary Medel;82;CDM/CB
Idrissa Gueye;82;CDM/CM
Víctor Ruíz;82;CB
Ricardo Rodríguez;82;LB/CB
Xherdan Shaqiri;82;RM/LM
Ciro Immobile;82;ST
Nathaniel Clyne;82;RB/RWB
Iborra;82;CDM/CM
Jack Wilshere;82;CM/CDM
Shinji Kagawa;82;CAM/CF
Kevin Trapp;82;GK
Taison;82;LM/CAM
Kyle Walker;82;RB/RWB
Marlos;82;RM
Luiz Gustavo;82;CDM/CM
Giuliano;82;CAM/RM
Gylfi Sigurðsson;82;CAM/CF
Yacine Brahimi;82;LW
Marko Arnautovi ;82;LM/LW
Jordan Henderson;82;CDM/CM
Orestis Karnezis;82;GK
Mamadou Sakho;81;CB
Adil Rami;82;CB
Fernando Néstor Muslera;82;GK
Vedran  orluka;82;CB
Edin Džeko;82;ST
Séamus Coleman;82;RB
Javier Hernández;82;ST
Beñat;82;CM
Lars Bender;82;CDM/CM
Axel Witsel;82;CM/CDM
Morgan Schneiderlin;82;CDM/CM
Kevin Mirallas;82;LM/LW
Carlos Vela;82;RW/ST
Emiliano Viviano;82;GK
Antonio Valencia;82;RB
Gonzalo Castro;82;CM/RM
Falcao;82;ST
Diego Alves;82;GK
Andrea Consigli;82;GK
João Moutinho;82;CM/CAM
Moussa Dembélé;82;CM/CDM
Michael Krohn-Dehli;82;LM/CAM
Loïc Perrin;82;CB
Lucas Biglia;82;CDM/CM
Benoît Costil;82;GK
Raúl Albiol;82;CB
Mario Gómez;82;ST
Gabi;82;CM/CDM
Diego López;82;GK
Raffael;82;CF/ST
Alejandro Gómez;82;LW/CF
Gonzalo Rodríguez;82;CB
Vincent Enyeama;82;GK
Kaká;82;CAM/CF
Fernandinho;82;CDM/CM
David Villa;82;ST
Victor Valdés;82;GK
Per Mertesacker;82;CB
Patrice Evra;82;LB/LM
Xabi Alonso;82;CDM/CM
Michael Carrick;82;CDM/CM
Andrea Pirlo;82;CM/CDM
Casillas;82;GK
Ousmane Dembélé;81;RM/CAM
Corentin Tolisso;81;CM/CDM
Marcelo Brozovi ;81;CM/CDM
Federico Bernardeschi;81;RM/LM
Niklas Süle;81;CB
Domenico Berardi;81;RW
Morgan Sanson;81;CDM/RM
Samu Castillejo;81;RM/LM
Adrien Rabiot;81;CM
Leon Goretzka;81;CM/CDM
Quincy Promes;81;RM/ST
Andrea Belotti;81;ST
Jonas Hector;81;LB/CDM
Mateo Kova i ;81;CM
Sergio Rico;81;GK
Oleg Shatov;81;LM/RW
Jorginho;81;CM
Florian Thauvin;81;RW/RM
Michy Batshuayi;80;ST
Iñigo Martínez;81;CB
Suso;81;RW
Deulofeu;81;RM/LW
Felipe Anderson;81;RW/RM
Jasper Cillessen;81;GK
Wissam Ben Yedder;81;ST
Lucas Pérez;81;ST
Ross Barkley;81;CAM/CM
Cédric Bakambu;81;ST/LM
Bartra;81;CB
André Schürrle;81;LM/RM
Roberto Pereyra;81;CM/CAM
Mario Gaspar;81;RB
Fabián Orellana;81;RW/CM/LW
Lukáš Hrádecký;81;GK
Daley Blind;81;CB/CDM
De Marcos;81;RB/RW
Wilfried Bony;81;ST
Iturraspe;81;CM
Parejo;81;CM/CDM
Salomón Rondón;81;ST
Daniel Carriço;81;CB/CDM
Bas Dost;81;ST
James McCarthy;81;CDM/CM
Camacho;81;CDM/CM
Paulinho;81;CM/CDM
Alan Dzagoev;81;CM/LM
Igor Smolnikov;81;RB
Lars Stindl;81;CAM/CF
Mario Balotelli;81;ST
Wojciech Szcz sny;81;GK
Nikola Kalini ;81;ST
Mikel San José;81;CM
Christian Benteke;81;ST
Marco Parolo;81;CM/CDM
Ljubomir Fejsa;81;CDM
Martín Cáceres;81;CB/RB
Georginio Wijnaldum;81;CM/CAM
Federico Fazio;81;CB
Simon Kjær;81;CB
Loïc Rémy;81;ST
Miguel Layún;81;LB/RB
Adán;81;GK
Benoît Trémoulinas;81;LB
Sven Bender;81;CB/CDM
Mathieu Valbuena;81;LW/CAM
Bojan;81;CAM/ST
Augusto Fernández;81;CM
Antonio Candreva;81;RW/CAM
Davide Astori;81;CB
Raúl García;81;CAM
Giovani dos Santos;81;CF/ST
Erik Lamela;81;RM/LM
Ryan Shawcross;81;CB
Danny Rose;81;LB/LWB
Renato Augusto;81;CM/CAM
Martin Škrtel;81;CB
Theo Walcott;81;RM/LM
Bacary Sagna;81;RB
Dante;81;CB
Salomon Kalou;81;LM/CAM
André-Pierre Gignac;81;ST
Lukas Podolski;81;ST/CAM
Negredo;81;ST
Pablo Zabaleta;81;RB
Darijo Srna;81;RB
Cédric Carrasso;81;GK
Rubén Castro;81;ST/LW
Jérémy Mathieu;81;CB/LB
Carlos Idriss Kameni;81;GK
Moyá;81;GK
Rune Almenning Jarstein;81;GK
Jermain Defoe;81;ST
Thiago Motta;81;CDM
Fernando Torres;81;ST
Júlio César;81;GK
Didier Drogba;81;ST
Danny;81;LW/CAM
John Terry;81;CB
Samuel Eto'o;81;ST
Tiago;81;CM/CDM
Gelson Martins;80;RM
Leroy Sané;80;LM/RM
Julian Weigl;81;CDM/CM
Nabil Fekir;80;CAM/RW
Jean Michaël Seri;80;CM/CDM
Williams;80;RW/LW
Marco Sportiello;80;GK
Keita Baldé Diao;80;LW/ST
Nikola Maksimovi ;80;CB
Thomas Lemar;80;LM/RM
Kingsley Coman;80;LW/RW
Alisson;80;GK
Joshua Kimmich;80;CM/RB/CDM
Julian Brandt;80;LM/CAM
Sofiane Boufal;80;LW/CAM
Bruma;80;LM/RM
Daniele Rugani;80;CB
Raphaël Guerreiro;80;CM/LM
Fabinho;80;CDM/RB
Jamie Vardy;81;ST/LM
Hakim Ziyech;80;CAM/RW
Emil Forsberg;80;CAM/LM
Saúl;80;CM/CAM/LM
Felipe;80;CB
Taras Stepanenko;80;CDM
Luke Shaw;80;LB
Leo Baptistao;80;ST/RM
Antonio Rüdiger;80;CB
Matija Nastasi ;80;CB
Denis Suárez;80;CM/RM
Kurt Zouma;80;CB/RB
John Brooks;80;CB
Héctor Bellerín;80;RB
Thorgan Hazard;80;CF/RM
Davy Klaassen;80;CM/CAM
Valère Germain;80;ST
Paul-Georges Ntep;80;LM/LW
Layvin Kurzawa;80;LB
Rafinha;80;CM/RW
Jeison Murillo;80;CB
Riccardo Saponara;80;CAM
Djibril Sidibé;80;RB/LB
Nacho Fernández;80;CB/RB
Josip Ili i ;80;CF/CAM
Kevin Volland;80;ST/LW
Allan;80;CM
Pablo Hernández;80;CM/CAM
Sergi Roberto;80;RB/CM
Wilfried Zaha;80;RM/LM
Manolo Gabbiadini;80;ST/CAM
Josuha Guilavogui;80;CDM/CM
Patrick Herrmann;80;RM/LM
Sebastián Coates;80;CB
O uzhan Özyakup;80;CM/CDM
Yaroslav Rakitskyi;80;CB
Phil Jones;80;CB
Adrián;80;GK
Neto;80;GK
Hugo Mallo;80;RB/CB
Daniel Didavi;80;CAM/CM
Younès Belhanda;80;LW/CAM
Oliver Baumann;80;GK
Mário Fernandes;80;RB
Roberto Soriano;80;LM/CM
Jesús Corona;80;RM
Maxime Gonalons;80;CDM
Alphonse Areola;80;GK
Yunus Mall ;80;CAM/CF
Eduardo Salvio;80;RM
Stephan El Shaarawy;80;LW
Iago Falqué;80;RW/LW
Marwin Hitz;80;GK
Thimothée Kolodziejczak;80;CB/LB
Francis Coquelin;80;CDM/CM
Marcel Schmelzer;80;LB
Ryad Boudebouz;80;CAM/CF
Ganso;80;CAM/CM
Fedor Smolov;80;ST/LW
Christian Noboa;80;CM/CDM
Kwadwo Asamoah;80;CM/LM
Ron-Robert Zieler;80;GK
Danny Welbeck;80;ST/LM
Danny Drinkwater;80;CM
Aleksandar Kolarov;80;CB/LB
Matteo Darmian;80;LB/RB
Ibrahima Traoré;80;RM
Diego Perotti;80;CF/LW
Angelo Ogbonna;80;CB
Max Kruse;80;CF/CAM
Konstantinos Mitroglou;80;ST
Nordin Amrabat;80;RM/CAM/ST
Stevan Joveti ;80;ST/CAM
Jeremain Lens;80;RM/RW
Branislav Ivanovi ;80;RB/CB
Eder;80;ST/LW
Kiko Casilla;80;GK
Nacho Monreal;80;LB
Serdar Tasci;80;CB
Marcelo Díaz;80;CM/CDM
André Ayew;80;RM/LM
Winston Reid;80;CB
Lucas Leiva;80;CDM/CB
Kevin-Prince Boateng;80;ST/CAM
Héctor Moreno;80;CB
Cristian Ansaldi;80;LB/RB
Daniel Wass;80;CM/CAM
Coke;80;RB/RM
Andrés Guardado;80;CM/CDM
Jonathan dos Santos;80;RM/CAM
Ryan Bertrand;80;LB
Jardel;80;CB
Salvatore Sirigu;80;GK
Yohan Cabaye;80;CM/CDM
Vitaliy Denisov;80;LB
Dušan Basta;80;RB/RM
Gustavo Cabral;80;CB
Gabriel Paletta;80;CB
 ukasz Fabia ski;80;GK
Ben Foster;80;GK
Vedad Ibiševi ;80;ST
Andreas Granqvist;80;CB
Héctor Herrera;80;CM
Igor Akinfeev;80;GK
Fernando Belluschi;80;CAM/CM
Andriy Pyatov;80;GK
Antonio Mirante;80;GK
Federico Marchetti;80;GK
James Milner;80;LB/CM
Michel Vorm;80;GK
Daniel Baier;80;CDM
Atiba Hutchinson;80;CDM/CM
Mehmet Topal;80;CDM/CB
Bastian Schweinsteiger;82;CM/CDM
René Adler;80;GK
Jérémy Toulalan;80;CDM
Phil Jagielka;80;CB
Stefano Sorrentino;80;GK
Robin van Persie;80;ST/CAM
Gareth Barry;80;CDM
Francesco Totti;80;CF/ST
Gianluigi Donnarumma;79;GK
Nélson Semedo;79;RB
Florin Andone;79;ST
Sergej Milinkovi -Savi ;79;CM/CAM
Omar Al Soma;79;ST
Petros;79;CM/CDM
Victor Nilsson Lindelöf;79;CB
Naby Keïta;79;CM/CAM
Tiémoué Bakayoko;79;CDM/CM
Mahmoud Dahoud;79;CM/CDM
Rúben Semedo;79;CB
Rafa;79;LM
Dani García;79;CDM
Lisandro López;79;CB
Ángel Correa;79;ST/RM/RW
Andreas Christensen;79;CB/CDM
Nabil Bentaleb;79;CM/CDM
Stanislav Kritsyuk;79;GK
Divock Origi;79;ST/RW
Max Meyer;79;CAM/CM/LM
Gayà;79;LB
Marco Benassi;79;CM
Pedro Santos;79;RM/LM
Elseid Hysaj;79;RB
João Cancelo;79;RB/RW/RWB
Alessio Romagnoli;79;CB
Piotr Zieli ski;79;CM/CAM
Bruno Peres;79;RM/RB
Ricardo Pereira;79;RB/RWB
Óliver Torres;79;CM/RM
Filip Kosti ;79;LM/RM
Emre Can;79;CM/CB
Matthias Ginter;79;CB/CDM
Luciano Vietto;79;ST
Arrizabalaga;79;GK
Maximilian Arnold;79;CM/CDM
Alassane Pléa;79;ST/RM
Denis Cheryshev;79;LM/LW
Edin Viš a;79;RM
Bernard;79;CAM/LW
Daniele Baselli;79;CM
Arkadiusz Milik;79;ST
Bernat;79;LB/LM
Šime Vrsaljko;79;RB
Eric Botteghin;79;CB
John Stones;80;CB
Jannik Vestergaard;79;CB
Simone Zaza;79;ST
Sergi Darder;79;CM
Fernando;79;CDM/CM
Memphis Depay;79;LM/LW
Jesé;79;LM/RM
Thomas Meunier;79;RB
Eric Dier;79;CB/CDM
Federico Fernández;79;CB
Nicola Sansone;79;ST/LW
Gastón Ramírez;79;CAM/RM
Faouzi Ghoulam;79;LB
Gabriel;79;CB
Vladimír Darida;79;CM/CDM
Cédric;79;RB/RWB
Lorenzo Tonelli;79;CB
Benjamin Lecomte;79;GK
Lucas Digne;79;LB
Paco Alcácer;79;ST
Heung Min Son;79;LM/RM
Vicente Gómez;79;CM/CDM
Emre Çolak;79;CAM/LM/CM
André André;79;CM
Dušan Tadi ;79;LM/CAM
Danilo;79;RB/LB
Pablo Sarabia;79;RM/CAM
Alex Oxlade-Chamberlain;79;RM/LM
Marco Höger;79;CM/CDM
Florian Lejeune;79;CB
Giannelli Imbula;79;CM/CDM
Nicolás Lodeiro;79;CAM
Daniel Caligiuri;79;LM/RM
Jeffrey Bruma;79;CB
Willian José;79;ST/CAM
Wahbi Khazri;79;LM/RM
Keko;79;RM/RW
Gil;79;CB
Martin Braithwaite;79;ST/LM
Jaume Costa;79;LB/LM
Romain Hamouma;79;RM/LW
Escudero;79;LB/LM
Marcos Alonso;79;LWB/LB
Holger Badstuber;79;CB/LB
Osvaldo Alonso;79;CDM/CM
Juraj Kucka;79;CM/CDM
Jeroen Zoet;79;GK
Illarramendi;79;CM/CDM
Adem Ljaji ;79;LW/RW
Eliaquim Mangala;79;CB
Canales;79;CAM/LW
Balenziaga;79;LB
Rafael;79;RB
Sebastian Rudy;79;CM/RB/RM
Jonathas;79;ST
Aleksandar Dragovi ;79;CB
Manuel Lanzini;79;CAM/LM
Victor Wanyama;79;CDM/CM
Alfred N'Diaye;79;CDM/CB
Nicolas Nkoulou;79;CB
Volkan Babacan;79;GK
Seydou Doumbia;79;ST
Pavel Mamaev;79;RW/LW
Artem Dzyuba;79;ST
Maurício;79;CB
Yann M'Vila;79;CDM/CM
Kieran Gibbs;79;LB
Mariano;79;RB/RM
Sofiane Feghouli;79;RW/RM
Fernando;79;CDM/CM
Claudio Yacob;79;CDM/CM
Roberto;79;GK
Moussa Sissoko;79;RM/CAM
Maximiliano Pereira;79;RB
Sidnei;79;CB
William Vainqueur;79;CDM
Miguel Veloso;79;CDM/CM
Fabricio;79;GK
Vieirinha;79;RM/RB
Fabian Johnson;79;LM/RB
Demba Ba;79;ST/LW
Bryan Ruíz;79;LM/CAM
Marcus Berg;79;ST/CF
Pontus Wernbloom;79;CDM
David Ospina;79;GK
Ignacio Piatti;79;LW/CAM/CF
Valter Birsa;79;CAM
Matías Fernández;78;CM/CF
Marcano;79;CB
Simon Mignolet;79;GK
Sergio Romero;79;GK
Domenico Criscito;79;LB/CB
Castán;79;CB
Moussa Sow;79;ST/LM
Diego Valeri;79;CAM
Nuri  ahin;78;CDM/CM
Jonny Evans;79;CB/LB
Danilo;79;CB
Nicolás Pareja;79;CB
 tefan Radu;79;LB/CB
Nicolas Lombaerts;79;CB
Giuseppe Rossi;79;ST
Llorente;79;ST
Bafétimbi Gomis;79;ST
Mathieu Debuchy;79;RB
Ibrahim Afellay;79;CAM/LM/CDM
Jefferson Farfán;79;RM
Manuel Fernandes;79;CAM/CDM
Scott Dann;79;CB
Clint Dempsey;79;CAM/ST
Michael Bradley;79;CDM/CM
Yoann Gourcuff;79;CAM/LW
Hilton;79;CB
Pablo Batalla;79;CAM
Gaël Clichy;79;LB
Klaas-Jan Huntelaar;79;ST
Luisão;79;CB
Vasiliy Berezutskiy;79;CB
Igor Denisov;79;CDM
Alexandr Samedov;79;RM
Jesús Navas;79;RM
Xabi Prieto;79;CM/RW
Javi Fuego;79;CDM/CB
Marcelo Barovero;79;GK
Lisandro López;79;ST
Guillermo Ochoa;79;GK
Bruno Alves;79;CB
Burak Y lmaz;79;ST
Diego Benaglio;79;GK
Zoran Toši ;79;RM
Maxwell;79;LB
Kim Källström;79;CM/CDM
Tim Howard;79;GK
Denys Boyko;78;GK
Marcus Rashford;78;ST/RM
Miguel Almirón;78;CAM
Gabriel Jesus;78;ST/CF
Oyarzabal;78;LW/ST
André Silva;78;ST
Soares;78;ST
Nemanja Radoja;78;CM/CDM
Marcos Acuña;78;LM
Jorge Meré;78;CB
Jony;78;LM/RM
Antonio Sanabria;78;ST/LM
Cheikh N'Doye;78;CM
José Izquierdo;78;LW
Gonzalo Escalante;78;CDM/RM
Theo Bongonda;78;LW/RW
Sebastián Torrico;78;GK
Morales;78;LM/RM
Wendell;78;LB
Andrej Kramari ;78;ST/LW
Davide Zappacosta;78;RB/RM
Jemerson;78;CB
Lucas Alario;78;ST
Duván Zapata;78;ST
Wylan Cyprien;78;CM/CAM
Diego Llorente;78;CB/RB
Alex Telles;78;LB
Timo Werner;78;ST
André Hahn;78;ST/RM
Paulo Oliveira;78;CB
Rachid Ghezzal;77;RW
Grimaldo;78;LB
Kevin Wimmer;78;CB
Tiago Volpi;78;GK
Joël Veltman;78;RB/CB
Sead Kolašinac;78;LB/LM
Guido Pizarro;78;CDM/CM
Michael Keane;79;CB
Jesse Lingard;78;RM/CAM
Bigas;78;CB/CDM
Vlad Chiriche ;78;CB/RB
Ben Davies;78;LB/CB
Carlos Sánchez;78;RM/CAM
Santiago Gentiletti;78;CB
Takashi Inui;78;LM/RM
Raúl Jiménez;78;ST
Joel Campbell;78;RM/CAM
Mário Rui;78;LB
M'Baye Niang;78;LW/ST
Christoph Kramer;78;CDM/CM
Konstantinos Fortounis;78;CAM/LW
Joãozinho;78;LM/LW/LB
André Carrillo;78;RM/LM
Rodrigo Moledo;78;CB
Johannes Geis;78;CDM/CM
Salif Sané;78;CB/CDM
Milan Badelj;78;CM/CDM
Agustín Marchesín;78;GK
 ukasz Teodorczyk;78;ST
Nacer Chadli;78;LM/CAM
Cristian Tello;78;RM/LM
Bruno;78;CB
Sebastian Rode;78;CDM/CM
Nicolai Jørgensen;78;ST
John Guidetti;78;ST
Bruno Martins Indi;78;CB
Jordy Clasie;78;CM/CDM
Charles Aránguiz;78;CM/CDM
Mathew Ryan;78;GK
Rogelio Funes Mori;78;ST
Aymen Abdennour;78;CB/LB
Mexer;78;CB
Enzo Pérez;78;CM/CDM
Teófilo Gutiérrez;78;ST
Dorlan Pabón;78;LW/CAM
Charlie Austin;78;ST
Borja Bastón;78;ST
Sergi Enrich;78;ST
Hernán Pérez;78;RM/LM
Thomas Delaney;78;CM
Davy Pröpper;78;CM
Cenk Tosun;78;ST
Koen Casteels;78;GK
Emanuele Giaccherini;78;LW/CM
Allan Nyom;78;LB/RB
Kevin Vogt;78;CB/CDM
Fontàs;78;CB
Lamine Sané;78;CB/CDM
Gökhan Töre;78;RM/LM
Fredy Montero;78;ST/CF
Celso Borges;78;CDM/CM
Michail Antonio;79;ST/RM
Etxeita;78;CB
Julian Baumgartlinger;78;CDM
Mehmet Ekici;77;CAM/CDM
Muniain;78;LW/CAM
Susaeta;78;RW/LW
Etrit Berisha;78;GK
Yannick Bolasie;78;RM/LM
Miguel Lopes;78;RB
Senad Luli ;78;CM/LM
Rochina;78;CAM/RM
Omar El Kaddouri;78;CM/CAM
Denis Glushakov;78;CDM/CAM
Carlos Zambrano;78;CB
Mame Diouf;78;ST/LM
Onur K vrak;78;GK
Jefferson Montero;78;LM/LW
Keisuke Honda;78;RW/CAM
Bernardo Espinosa;78;CB
Marco Fabián;78;CAM/LM
Ivelin Popov;78;CAM/LM
Joe Allen;78;CM/CDM
Romain Thomas;78;CB
Mehdi Carcela-González;78;RM/RW
Sandro Wagner;78;ST
Pablo Piatti;78;LM/LW
Eric Maxim Choupo-Moting;78;LM/ST
Sebastian Langkamp;78;CB
Neven Suboti ;78;CB
Fabian Delph;78;CM
Raúl Bobadilla;78;ST/RM
Troy Deeney;78;ST
Håvard Nordtveit;78;CB/RB
Balázs Dzsudzsák;78;LM/RM
Andy Carroll;78;ST
Bo ek Do kal;78;CAM/CM
Marek Suchý;78;CB
Luiz Adriano;78;ST
Guilherme;78;GK
Ki Sung Yueng;78;CM/CDM
Ruud Vormer;78;CM
Etienne Capoue;78;CDM/CM
Paul Baysse;78;CB/RB
Cristian Zapata;78;CB
Dieumerci Mbokani;78;ST
Marouane Fellaini;78;CM/CDM
Nahuel Guzmán;78;GK
Adrián Ramos;78;ST/RW
Baiano;78;RB
Jan  urica;78;CB
Pedro León;78;RM/LM
Zlatko Junuzovi ;78;CM/LM
Luca Antonelli;77;LB/LM
Victor Moses;78;RWB/LM
Zurutuza;78;CM/LW
Fraser Forster;78;GK
Lasse Schøne;78;CM/RW
James McArthur;78;CDM/CAM
Mario Suárez;78;CM/CB
Steven Defour;78;CM
Diego Buonanotte;78;CAM
Tim Krul;78;GK
Jack Cork;78;CDM/CM
Kenneth Vermeer;78;GK
Rafinha;78;RB/CB
Salvatore Bocchetti;78;CB
Ignazio Abate;78;RB
Rasmus Elm;78;CM
Marco Ruben;78;ST
Jakub B aszczykowski;78;RM/RB
Adriano;78;LB
Tom Heaton;79;GK
Oleksandr Kucher;78;CB
Karim El Ahmadi;78;CM
Javi García;78;CDM
David Abraham;78;CB
Riccardo Montolivo;78;CDM/CM
Fabio Quagliarella;78;ST
Jurado;78;LM/CM
Ezequiel Lavezzi;78;LW/RW
Christian Gentner;78;CM/CDM
Laurent Ciman;78;CB
Thomas Vermaelen;78;CB/LB
Rodrigo Palacio;78;ST
Per Ciljan Skjelbred;78;CDM/CM
Ashley Young;78;LM/RB
Mark Noble;78;CM/CDM
Aaron Lennon;78;RM
Christophe Jallet;78;RB
Sergey Ryzhikov;78;GK
Soldado;78;ST
Oscar Wendt;78;LB/LM
Gökhan Gönül;78;RB
José Sosa;78;CM/CAM
Ragnar Klavan;78;CB
Willy Caballero;78;GK
Vágner Love;78;ST
Robert Huth;78;CB
Gomes;78;GK
Martín Demichelis;78;CB
Selçuk  nan;78;CM/CDM
Alexander Meier;78;ST/CAM
